Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11-11-2011,237.824997,239.199997,231.300003,232.024994,232.024994,4605018,10684.79274
14-11-2011,234.949997,239.925003,234.475006,235.699997,235.699997,6114282,14411.36249
15-11-2011,235.350006,238.899994,234.949997,236.125,236.125,5822146,13747.54224
16-11-2011,235,236,230.149994,232.850006,232.850006,3558800,8286.666014
17-11-2011,231.574997,235,228.300003,229.675003,229.675003,5388684,12376.46014
18-11-2011,227.600006,230.800003,225.050003,229.149994,229.149994,5860372,13429.04209
21-11-2011,228,228,220,222.324997,222.324997,5097018,11331.94512
22-11-2011,223.5,224.75,220,222.024994,222.024994,7609152,16894.21927
23-11-2011,220.875,220.875,207.100006,213.050003,213.050003,12782818,27233.79413
24-11-2011,214.399994,217.5,205.649994,214.824997,214.824997,14442594,31026.30213
25-11-2011,213.875,217.449997,209.524994,215.449997,215.449997,9453234,20366.99237
28-11-2011,218,222.475006,217.050003,220.425003,220.425003,5445858,12004.03266
29-11-2011,222,222.774994,216.100006,217.600006,217.600006,7415512,16136.15456
30-11-2011,214.600006,224.824997,214.600006,221.25,221.25,14107274,31212.34373
01-12-2011,229.475006,233.5,224.725006,226.75,226.75,6964892,15792.89261
02-12-2011,227.574997,233.949997,226.574997,233,233,5618514,13091.13762
05-12-2011,231.850006,233.725006,229,231.175003,231.175003,4376614,10117.63755
07-12-2011,235,235.449997,231.050003,233.550003,233.550003,5586472,13047.20552
08-12-2011,233.5,233.850006,225.550003,226.875,226.875,6278500,14244.34688
09-12-2011,223.5,225.600006,220.25,221.875,221.875,6803456,15095.168
12-12-2011,224.050003,225.475006,213.149994,216.024994,216.024994,6035578,13038.35701
13-12-2011,214,222.699997,213,219.199997,219.199997,7462940,16358.76426
14-12-2011,219.5,221.875,215.125,217.175003,217.175003,12153362,26394.06429
15-12-2011,214.5,218,213.5,215.675003,215.675003,13480070,29073.14138
16-12-2011,217.050003,220.25,205,207.649994,207.649994,14712410,30550.31848
19-12-2011,206.024994,206.5,200.125,203,203,16170762,32826.64686
20-12-2011,203,210.800003,202,207.100006,207.100006,9991784,20692.98526
21-12-2011,213,219.699997,208.899994,217.725006,217.725006,7493440,16315.09269
22-12-2011,215.75,222.399994,214.399994,221.425003,221.425003,6788034,15030.40449
23-12-2011,222.100006,223.25,218,218.774994,218.774994,3427650,7498.841082
26-12-2011,219.5,222.699997,218.524994,221.850006,221.850006,2282380,5063.460167
27-12-2011,220.149994,221.800003,217.850006,219.850006,219.850006,3147118,6918.939112
28-12-2011,221.25,221.5,216.524994,219.899994,219.899994,3834170,8431.3396
29-12-2011,217.824997,221,213,214.800003,214.800003,5465314,11739.49464
30-12-2011,216.899994,217,211.050003,213.425003,213.425003,3838208,8191.695539
02-01-2012,214.449997,214.899994,209.75,213.425003,213.425003,3514998,7501.884587
03-01-2012,215.699997,220.449997,215,219.574997,219.574997,3439238,7551.706735
04-01-2012,220.949997,222.475006,215.425003,221.649994,221.649994,4871478,10797.63069
05-01-2012,222,223.350006,220.149994,221.824997,221.824997,3380606,7499.029158
06-01-2012,220.5,228.574997,219.475006,226.649994,226.649994,3977222,9014.373424
09-01-2012,225.949997,228.550003,223,227.850006,227.850006,4231968,9642.539342
10-01-2012,230,231.149994,228,229.850006,229.850006,4491386,10323.45099
11-01-2012,230.25,232,227.5,231.324997,231.324997,3859556,8928.117801
12-01-2012,230.850006,234.550003,230.600006,233.324997,233.324997,3987722,9304.352237
13-01-2012,235,236.524994,230.524994,234.800003,234.800003,3690842,8666.097127
16-01-2012,233.399994,233.925003,229.125,230.25,230.25,3191710,7348.912275
17-01-2012,231.949997,234.5,231.5,234.199997,234.199997,3661008,8574.080626
18-01-2012,236.449997,242.699997,234.800003,240.949997,240.949997,10068622,24260.34441
19-01-2012,243,245.125,240.149994,243.399994,243.399994,8421088,20496.92769
20-01-2012,245,246.725006,240.225006,245.274994,245.274994,7195130,17647.85468
23-01-2012,243,243.875,240.449997,242,242,3766864,9115.81088
24-01-2012,242.625,246.550003,240.274994,244.399994,244.399994,7531976,18408.14889
25-01-2012,245.125,246.5,242.875,245.100006,245.100006,7409550,18160.80749
27-01-2012,251.949997,252,239.824997,242.100006,242.100006,7438818,18009.37882
30-01-2012,241.475006,241.5,236.5,239.524994,239.524994,4987508,11946.32824
31-01-2012,241.75,247.5,239.925003,246.050003,246.050003,5326924,13106.89666
01-02-2012,247.25,249.850006,240.675003,248.574997,248.574997,6010298,14940.09807
